"Usernames","Dates","User_Rating","Review_Title","Text_Reviews"
"ianrobo","Nov 19, 2016","10","In times of climate deniers, hope","Plant Earth 2 was everything you would expect and more. Every scene, every vista shows that humans are the real parasites on this planet and the animals should rule us, not the other way round.However it gives me hope, it says to me people will watch this, hear about it and see the folly of our actions at some time.Hope is far better than despair.Oh David Attenborough, you are the king of us all"
"adamonIMDb","Dec 28, 2016","7","Breathtaking","I never thought the original 'Planet Earth' could be topped, but 10 years on and Attenborough has given us something that is every bit as good, if not even better, than the first series.'Planet Earth II' is everything I had hoped it would be and more. Visually breathtaking, mesmerising and at times unbelievable, with expert narration by the legendary David Attenborough. Documentaries as awe-inspiring as this don't come about very often.I always enjoy the 'making of' at the end of each episode, giving us an insight into the lengths that the crew go to capture the footage. They deserve a lot more credit than they get. 'Planet Earth' is, without question, the greatest documentary ever made and a must see."
"tinyfordst","May 19, 2019","10","More irritated with IMDb for the bias than with the show","Was Planet Earth 2 good? Absolutely, it was a visual masterpiece with locations that not even the creators of Avatar could've dreamt up, animals we didn't know existed (literally) and AMAZING music.The problem lies in the fact that the ""facts"" given were all a bit loosely based on the truth. A lot of what was said is suspicion, and even some of it has been proven wrong in the years that followed. Some of what was said has been proven false even before the show was recorded, but because the most beloved nature voice (David Attenborough) said it, nobody questioned anything.Finally what really bugs me is why IMDb decided to put it in first place with only 70 000 votes and not even with as few as that can it sustain a REAL average of 9.0. It makes no sense why it is placed ahead of shows with millions of votes that average a REAL 9.3. I believe it's time that IMDb admit, this show is not #1, because the ratings don't say it is, put Breaking Bad in the position it belongs, and which it deserves."
"BobFillmore","Sep 29, 2017","10","Should be required viewing in schools","This is probably the most intimate documentary I have seen of our fellow species on earth. Awesome. After having a bad day... watch this. Your problems will seem insignificant compared to life in general. We may be the top of the food chain. but this will illustrate the type of struggles we had to endure to get here. Humbling. Young people need to know their place in nature."
"farshidkarimi","Nov 22, 2016","10","What a Beautiful Planet- Bewitching !","This is my first comment and I hope I am not bungling it.I have been watching nature documentaries for many years. Everyone of them has been a depiction of beauty of nature and the planet we are living in.With all the bloodshed and cruelty that is unfolding all around, committed by US human beings, it is a relief to the heart, so soothing to the mind and calming to the eye to see such an enthralling master piece. The mesmerizing scenes of birds, soaring in the blue sky, their sleek feathers glimmering in the sun, the captivating green of leaves trembling in wake of monkeys jumping over them, the enchanting scene of Nubian Ibex baby deftly climbing down the cliff, dodging the red fox, the eye relieving sight of flamingos parading in a single line and all the grandeur of mountains superimposed by the stars in the time lapse, specks of ice swaying down in the winter scene and all enrapturing beauties of nature playing out right in front of our eyes, it is all a reminder of how majestic this world is.The trance is culminated by the legendary voice of the gem, Sir. David Attenborough. He is a major part of all this beauty. All this fragile beauty and all the majesty of these creatures invokes a feeling in the viewers mind and heart that this world, nature, animals and human beings living in it are mystically intertwined, connected and linked. I also bow in respect to the crew involved in the creation of this priceless jewel, especially the cameramen, honing it to perfection. I hope more people watch such stunning documentaries so that they will admire life on Planet Earth."
"TheLittleSongbird","Oct 12, 2017","10","Like the first 'Planet Earth', does for nature and our planet as 'Walking with Dinosaurs' did with the dinosaurs","Absolutely adore the first 'Planet Earth' from 2007, one of the best documentaries ever made and actually is more than that. David Attenborough (brother of director/actor Richard) is wisely considered a national treasure for very good reason, no matter how much he himself dislikes the term.So hearing that there was a second series nearly a decade later, there was absolutely no doubt as to whether to watch it. 'Planet Earth II' is as good as others have said and there is not much to add, it is along with its predecessor one of the best documentaries personally seen and most of the time it actually feels much more than that. Throughout it's an awe-inspiring, utterly transfixing experience where one forgets they're watching a documentary and instead feeling like they're watching art. This may sound like extreme hyperbole, but to me and many others 'Planet Earth II' is completely deserving of its praise and even deserving of more. To me as well, it is easily one of the best the BBC has done in years.'Planet Earth II' for starters looks amazing. It is gorgeously filmed, done in a completely fluid and natural, sometimes intimate (a great way of connecting even more with the animals), way and never looking static. In fact much of it is remarkably cinematic. The scenery and habitats are some of the most breath-taking personally seen anywhere, whether in visual media and real life, the mountains in ""Mountains"" in particular are spectacular and ""Jungles"" captures the colour, excitement and formidable danger of the jungle beautifully. The rich colours just leap out. For a composer that composes normally bombastic, rousing and pulse-racing music that is epic even in the quieter moments, Hans Zimmer's music here is a remarkably good fit, it's unmistakably Zimmer in style but throughout it not only complements the visuals but enhances them.What of the narrative aspects? Can't fault 'Planet Earth II' in this aspect either. The narration has a great well-balanced mix of facts that will be familiar to the viewer and others that will induce the right amount of surprise. In short, it's just fascinating, informative and thoughtful. This balance was even achieved in the ""Cities"" episode, that may have been the one that transfixed me the least due to being more invested in the animals and their habitats of the previous episodes.But the episode still managed to intrigue and illuminate, and credit has to go to 'Planet Earth II' for adhering to what made 'Planet Earth' work the first time and then bringing a freshness with a few nice ideas to avoid it being too stale. Attenborough delivers it beautifully, there's a soft-spoken enthusiasm and precision about his delivery and he never preaches.The animals themselves are a wonderful mix of the adorable (the penguins in ""Islands"") and the dangerous (the lions in ""Grasslands"" and ""Deserts""), and one actually finds they're rooting for them in exactly the same way they would a human character. 'Planet Earth II' contains a good deal of suspense (especially in ""Deserts"") and emotional impact (""Islands""). Even the fights/conflicts against the animals are completely riveting, some epic moments in ""Jungles"".It doesn't feel like six episodes either, and none of the episodes feel episodic or repetitive. 'Planet Earth II' instead feels like a collection of six individual stories with real, complex emotions and conflicts and animal characters developed in a way a human character would in a film but does it better than several.Overall, utterly mesmerising. For documentary lovers or fans of 'Planet Earth', 'Planet Earth II' is not to be missed at all costs and has more than enough to entice one to watch it again and again, finding something new each time and never getting tired of it. 10/10 Bethany Cox"
"myersei-165-4350","Dec 4, 2016","10","This masterpiece deserves higher scores","It's a shame I can only give this breathtaking masterpiece 10 out of 10, it really deserves more. It is the single most astounding cinematic experience I have ever witnessed. The cinematography, narration, and score are hands down the best I have ever seen. Never has my entire family been so excited to watch the next episode of a program or movie.Planet Earth II lays out in 5 episodes life on earth in 6 separate Earth habitats: Islands, Mountains, Jungles, Deserts, Grasslands, and Cities. Each one dives into live and it's will to survive in a level you've never seen before. Truly remarkable cinematography and color will literally make you gasp for air and your eyes open wide. It truly is the greatest nature documentary ever made and possibly the greatest documentary of all time."
"larask-21775","Oct 20, 2018","10","Love it!","Stunning photography, excellent music, and the unique narration Attenborough brings make this an mini-series."
"fierceeagle-40009","Apr 23, 2020","10","Absolutely amazing.","Let me say the score, the music, the scenery, the animals and all the detail is like nothing you have seen before. When I'm dying in my bed i hope 60 years from now on my death bed this is what i want to be watching. It will give me peace on my way out of this magical and beautiful world. Just watch and see. Unfortunately for me i won't be able to go to certain parts of the world but seeing this makes me feel like I'm there."
"adam-whitmore","Jan 5, 2017","10","Peerless evocation of nature across the globe","This is not just one of the best wildlife documentaries ever made - superbly filmed using the latest techniques and equipment – it is one of the great achievements in any area of culture from this or any other year. Little else shows such skill and dedication from its makers, or is as moving in its sense of beauty and feeling of something larger than ourselves. It is an emotive evocation rather than cerebral narrative, and to this end there is extensive and prominent use of music, and added sound effects. Some find these intrusive, but for me they were very effective. There were a few occasions on which I felt that emphasis on getting in close went too far - for example the fighting Komodo dragons broke from the top of the frame unnecessarily, and the framing of eagles fighting over a carcass felt a little tight. However pushing the boundaries in any field can sometimes mean going too far, and this is surely trivial set against the scale of the achievement. Sequence after sequence is profoundly impressive, and the cumulative effect uniquely wonderful. This is of course worth seeing with the best quality source and the largest, best quality screen you can find. The Blu-ray transfer is excellent.In reviewing last year's outstanding ""The Hunt"" I wrote that I found it hard to imagine how even the BBC wildlife unit could surpass that. Now I see. Can even the BBC wildlife surpass this? Maybe Planet Earth 3?"
