"Usernames","Dates","User_Rating","Review_Title","Text_Reviews"
"faded_english_monkey","Aug 25, 2004","10","war, no frills","I absolutely love this miniseries.As a keen amateur historian, I got sick and tired of books and documentaries about the great leaders, politics, geography and basically, the non-bloodshed parts of WW2.Similarly virtually every time I saw a war movie, it was ruined by flashbacks( thin red line) ridiculous fiction (and yes, i do mean you, The Bunker) or completely unnecessary and out of place sex scenes (who can forget Enemy At The Gates, a powerful film, until that awful sex scene which ruined the whole thing?)There are good war movies. But this stands out, because not only is there no fiction whatsoever, but because, as a miniseries, more time is available to get to know the characters, and follow their progress, to know them, to love them, to mourn them.Time allows for detail, and the fact that the 'frills' that other films stick in to make them more viewer friendly and marketable have been left out....When a character in BoB dies, you mourn not because a flashback tells you they have a young sweetheart or something...but because you know this is real, it happened. The acting is truly superb, and you realise, it isn't a character you are mourning at all, it's a real person. This is because the actors made very strong relationships with their real life surviving counterparts, they knew their roles inside out and it really does show. We feel so strongly for the characters because the actors have portrayed them so faithfully. There are no clichés, because the truth is so accurately reproduced.After reading Ambrose's book, you realise how religiously each part of the series is portrayed. The sets are perfect, the effects remarkable, and Michael Kamens score will go down as one of the finest ever written. Everything about the production of this series is phenomenal, the details are so minute yet so important.This should be watched not just for entertainment value, but as a reminder of the sacrifices made for us. Easily the best television series ever produced.Watch it. Now."
"planktonrules","May 30, 2015","7","You can't beat this....","""Band of Brothers"" is a nearly 12 hour long show about the experiences of a group of soldiers during their tour of duty in Europe during WWII. Given that it is this long, it allows so much more in the way of character development and story telling than a typical war movie. The closest thing to this quality-wise is the original version of ""Das Boot""--as it was a mini-series and was later spliced apart to make it a motion picture. But even then, the German submarine film was only about 40% as long and never got into the detail and had quite the emotional impact as ""Band of Brothers"". In every way, the show screams quality--with amazing sets, details and direction. In fact, while the budget for this was large ($125,000,000 according to IMDb), it was actually pretty small considering the number of actors, the amazing sets and the length of the series. This is a must-see for anyone and I would say more and heap more praise on the film except that there are already hundreds and hundreds of other reviews on IMDb that pretty much do that already."
"stilonkostrzyn","Apr 10, 2021","5","Overrated??","I understand why ppl rate it so high, but imo this show is aimed mostly to american audience to bring up patriotic feelings and high emotions, as an european i cant really get into it. A very nice ww2 series in general but not a 9.5 for me."
"faded_Glory","May 2, 2006","10","Not very realistic at all","Lots of people applaud this series for its realism, but I can't really agree. I think there is still too way much Hollywood here and a lot of the scenes are cliché. The Germans are almost without exception behaving as total amateurs. For example, in the Crossroads episode they let themselves be completely surprised by the American attack in the rear, and in response they go running round in the open like a bunch of headless chickens to be shot down in droves. Yet we are told that these are SS soldiers. The SS was a crack unit and I don't believe that they were such poor soldiers to let this happen to them. One of the first things you get taught in tactical school is to secure your perimeter and set guards in all directions.The American side too made huge blunders, if we accept this to be a realistic depiction of what happened in reality. Take the attack on the village of Foy (another place where we constantly see crowds of Germans nervously running around in the open for no apparent reason). The Americans knew that the Germans had artillery and tanks there, yet they assault the village with less than one Company of infantry without any attempt to soften up the defenders first! What are they thinking? Where was the Air Force? Couldn't they bomb the village first? Where was the American artillery? Couldn't they lay a barrage on the village before the attack? Why not use smoke grenades to give themselves some cover when they crossed the open fields? And we are supposed to feel sorry for the guys that their attack got bogged down? Also very unrealistic is the layout of the opposing sides in the Last Patrol episode. If you believe this, the lines were less than hundred meters apart, yet on both sides people were walking around right in the open, and exposing themselves at the windows etc. At night they show some huge spotlights on the German side - surely those would be immediate targets given that they only appear to be a couple of hundred meters away from the Americans and plainly visible? Ridiculous! The behaviour of the Americans during the shelling in the Bastogne wood is equally unrealistic. Why are they all walking around in the open and talking to each other if they were so close to the German lines and expecting to come under fire? They should have been sitting in their foxholes, observing the enemy, not walking around chatting as if they were taking a stroll in the park! And then when the first shells explode why are some of them running round like idiots, shouting to the others to take cover? Don't you think that these D-day veterans would know by now to take cover when the shells start flying? All this kind of stuff that is only designed to get us excited and rooting for the characters is typical Hollywood nonsense. Never mind the decent acting, the good costumes and props, the camera-work - if the overall behaviour of the characters is quite unbelievable the entire story falls flat on its face. I am still waiting for the first truly realistic depiction of front-line combat - but I don't think I will ever get to see it, because in reality it isn't very photogenic so it wouldn't sell."
"jazmodo","Jun 3, 2019","10","Without Doubt, the Best Mini-Series Ever Recorded","As near to perfection as a TV Series can be, I cannot put into words the gravity & importance of this series.A true, accurate, beautiful, and brutal portrayal of war. Nothing compares in the modern age, if ever.Episode 9 is so emotionally draining it is very hard to watch at times, but watch it you must.Never Again must we let this happen. Never, ever, ever again.From a UK viewer, my heart, soul and tears are with every allied veteran, and every jewish person (and others) tortured and murdered by the Nazi regime.This is the best, Chernobyl second best."
"kait2007","Jan 26, 2005","10","Great Miniseries","I was a little hesitant to watch this miniseries because i'm not too fond of war movies, but this one was amazing! The acting was amazing, as well as the quality of picture. It was made to look like it was back in the 40's. It's not in black and white, but it has that older look. The actors, mostly British, are absolutely amazing. You really feel like you are there with them participating in the battles, feeling the pain of losing a comrade, and the fear of the battle. It starts with the basic training in Toccoa,Ga, and continues through Normandy, The battle of the Bulge, and Operation Market Garden, among others, as well as the liberation of a concentration camp. If you liked Saving Private Ryan, or even if you didn't, you will definitely love this miniseries!! Once again, Tom Hanks and Steven Spielberg created a masterpiece!"
"mickman91-1","May 3, 2022","10","A series like this won't be made again (see below), so treasure it","After 20 years it remains rightfully one of the highest rated things on IMDB. This is because it taps into the darkest days of the 20th century from which the greatest sacrifices were made, and the greatest heroes were forged. They simply wouldn't make BoB this way anymore and it wouldn't be as significant. Because 20 years age, most of us still had parents and grandparents who were still alive who had fought in or experienced WW2. So it was very much still real and close to all of us. 20 years later it is now almost entirely part of history books as opposed to being something we can still feel. Band of Brothers immortalised a number of ordinary but inspirational men and their stories, which were a microcosm for the stories of the millions of people and families around the globe and their experiences in humanity's darkest days. It would also be too political and careful if it were made these days. Because enough distance has passed people now for people to feel comfortable enough to criticise what happened as seen from a modern perspective and may even try to denigrate or change the narrative to serve their delusions or agenda. Because they no longer have to look into the eyes of the ordinary men and women who had to do terrible things and make terrible sacrifices being thrust into scenarios they did not create. So a series like Band of Brothers will never and could never be made again, so treasure it."
"kipmcmillan","Oct 24, 2018","9","Share With Your Children","This is an incredibly poignant and important show that everyone should watch once. It's so real in the portrails of these men and women who lived through this war.
I've watched it a couple dozen times and I still get drawn into this story and am touched by the sacrifices so many people made.
Please show this to everyone you know. It's important to tell these stories that are becoming lost to time and history."
"erwan_ticheler","Dec 7, 2002","10","Best Mini series ever","Judging by other comments, it seems that this miniseries struck a chord with many viewers. I almost hate to add yet another glowing endorsement since the other reviews are pretty much identical...but here goes. This one made me wonder WHERE DOES AMERICA GET SUCH MEN? The things that Easy Company (boy, there's irony for you!) went through. I've always been grateful to all those who fought for my freedom (I served my country but never had to fight) and have wondered how men could do the awful things that had to be done. I've admired those who actually faced combat. Anyway, Band of Brothers is superbly done historically correct documentary about E Co, 101st Airborne. It follows the lives (and sometimes deaths) of the men of Easy Co. The miniseries takes the men through most of their combat engagements. The cinematography is outstanding. Spielberg and Hanks really did a great job on this miniseries! There are some interviews with some of the survivors, who have remained close to this day. Disks 1-5 are the actual miniseries but WHATEVER YOU DO, DON'T SKIP DISK 6! There is a lot of information about how the film was cast, the ""boot camp"" that the actors went through and how soft actors were turned into lean, hard fighting men. There are more interviews with surviving members of Easy Co. Folks, this is a don't-miss series!"
"grahamsj3","Nov 25, 2002","10","A-1, TOPS, the BOMB what else can I say?","This is the true story of Easy Company, 506th Parachute Infantry Regiment, 101st Airborne Division. It start 2 years before D-Day as they train in Camp Toccoa, Georgia. They battle from Normandy ending with the idleness of occupation in Germany.This is almost perfect television. It takes compelling important history and makes it a thriller touching TV event. There are so many great characters. The greatness of this show is that these actors make these characters come alive. Obviously the audience isn't expected to keep track of every character. However every leading character has a compelling personality. It's also a new level of authenticity for TV production. The action is thrilling. The last episode is slower dealing with an usual aspect of the struggle. The episode is unexpected but compelling nevertheless. This is a great TV war miniseries from start to finish."
