"Usernames","Dates","User_Rating","Review_Title","Text_Reviews"
"Jamie_Seaton","May 23, 2019","1","Amazing!","This film is a beautifully made anti-Soviet and anti-Russian propaganda. How cost the lie? You can see the cost of this HBO Series to understand how much. 20% of the film is true facts and 80% hypocritical lies. The art of the producers is how the true facts are subtly woven into the web of lies. People who have never seen documentary films about this catastrophe will never be able to determine this fact.Some facts - Legasov was not a physicist, he was a chemist!
At that time, the Soviet Union was dry law and therefore no one could give a soldier or other worked people the vodka!
Legasov's report at the IAEA was never challenged by anyone until now.Scherbina was an engineer by education, she was in charge of the energy sector of the Soviet industry and therefore knew the structure of the nuclear power plant well.Both Shcherbina and Legasov were communists (they were members of the Communist Party), and also were the elite of Soviet society, and therefore, as shown in the film, they could not communicate disrespectfully among themselves. Scientists in Soviet society greatly respected scientists.Legasov and Shcherbina did not attend the trial and therefore did not reveal any ""truth"".""The bridge of death"" - that was what the locals called him before the explosion, because a motorcyclist died in this place several years ago. And it was just a local story. Since the explosion occurred at 2 am, no one came to the bridge, everyone was asleep !!!!
Check this facts himself and know how cost the lie."
"piter554","Jun 29, 2019","8","How cost the lie?","I'm Russian, my father went to Chernobyl as a physicist quite a while after the explosion (a few years). However, he is still shocked of what he has seen over there. I think he will love this TV series...Anyway, I want to say that this is incredible. I've seen just two episodes and I can't find words to describe how emotionally deep is this film... The details of the Soviet life that are shown in this TV series are incredible. I can't imagine how hard was it to get to this level. It must have been a deep research with tons of interviews. Besides the details, the filmmaking and the music - absolutely unbelievable. Thank you for this. This is one of the best things I've ever seen in my life."
"frimark","May 20, 2019","10","Emotionally drained...","30th of April, 1986, was a cloudless, sunny day in southern Poland. I was 13 years old, and went to school as everyday. Just before noon teachers started running, closing all doors and windows, and telling us to stay inside, that the air is radioactive. One hour later we were given Lugol's iodine (still remember its awful taste). There was discussion if we can safely go home. No one knew any details. Composition of beautiful weather and gloomy atmosphere was unreal. Years later, I know what was happening in the background. In morning hours of April 28th one of the stations of Polish Central Laboratory for Radiation Protection (CLRP) in northeast Poland measured radiation exceeding normal level half million times.Two hours later they knew it was reactor explosion, somewhere. Government crisis meeting took all 28th/29th night. Polish prime minister called his Russian counterpart, only to hear he ""knows nothing"" about any nuclear accident. By 3am ""Polish Legasov"", prof. Zbigniew Jaworowski from CLRP was called to join the meeting, and he achieved impossible - convinced Polish communists that the worst should be expected. They decided to give iodine to all children and suspend production of milk and vegetables countrywide, starting from the next day (east part of the country first).
Chernobyl - I've never written movie review. I've never seen such an accurate depiction of how communist country operates. How it looks. I was literally time-traveled over 30 years back. Incredible. 100/10. You know what is most chilling (for me)? 33 years ago communist Polish government, by some miracle, managed to react in relatively short time. Today - it's impossible. There are no iodine stockpiles. The network of Polish CLRP's 140 measuring stations was dismantled. What about other countries? I don't know, but...
Last remark - my grandmother died in early 1987. Rapidly developing thyroid cancer. What exactly caused it? I guess I'll never know."
"krzysztof-18241","May 30, 2019","10","Just watch it (!)","In terms of series expression, it moves on in a style that we can call ""documentary-drama"". But there is a serious scenario success here. The visual and verbal emotions of the series we watch are sometimes causing anxiety, sometimes causing anger and sometimes we cannot prevent our eyes from being moistened. The gloomy atmosphere of the Soviets is very well reflected. The background music supports this. It has a cinematic narrative. You feel the catastrophe up to your buttonhole. Nevertheless, acting certainly takes the business to a much higher level. Chernobyl is now at the top of the ""Top Rated TV Shows"" list in IMDb. This is a significant improvement, even if you are a person who does not consider the IMDb score very much. Such a great success in a short time... It really deserves a round of applause. 10/10"
"ahmetkozan","Jun 7, 2019","9","Now you look like the minister of coal!","Chernobyl is about the brave men and women who had to navigate the ridiculously scary nuclear accident at the Chernobyl Nuclear Power Plant in April of 1986. It is heartbreaking to watch as this shocking disaster unfold and even though you probably already know the story and what happens you'll still sit on the edge of your seat as tense as can be. This show will grab you from the very first episode and not let go. The attention to detail is just awesome. I can't recommend this show enough so if you're looking for a new show then give this a try, I promise you will not be disappointed. Just make sure you give yourself enough time because you're going to want to binge it as fast as you can."
"Rob1331","Sep 27, 2022","10","Must Watch!","Grim is an understatement.This is one of the very few shows that I'd bless with a ten star.It is subtle considering the subject but at the same time does not flinch in away from the harsh and immediate reality.I'll never love this show but I will forever have had my eyes opened by it.Shame on the Heathen that gave it 6/10 because of the English accents."
"stephenpdodds","May 6, 2019","9","Cracking.","I can not overstate just how good Chernobyl really is! It's one of the best mini-series ever made, it's right up there with Band of Brothers! It absolutely lives up to all the hype and love it's gotten since it first came out! It's one of the top rated shows ever for a reason... because it's fantastic! If you haven't seen this amazing series yet then make sure you do as soon as possible!"
"Supermanfan-13","Jul 10, 2022","9","Brilliant!","I was born in Ukraine, 1971. Parents - Soviet ""intelligentsia"": mother was a high school teacher, father - medical doctor in the military. By the time it happened, we lived near one of the strategic nuclear missile site deep in Siberia. Every year, during the summer school break we used to go to Ukraine, where we spent most of vocation. It should have been the same in 1986, but Chernobyl happened. Official info reiterated that there is nothing to worry about, unless you are in the vicinity of reactor itself. But we all had learned to read between the lines and my farther used his military channels to find out EXACTLY what kind of catastrophe was taking place. He had some info from KGB guys themselves. However, he was reassured that Kiev and certain parts of Ukraine was free of the nuclear fallout and the level of the radioactivity was within normal urban level. He was also clearly warned where NOT TO GO under any circumstances: North-West of Ukraine and big part of Belarus was a heavy fall-out zone. They also mentioned some European countries. Needless to say, that nobody else was talking about this on TV. We made a decision not to change our plans for the summer, but keep in mind those warnings.Each of us had DKP-50A - dosimeter that measures the exposure dose of gamma radiation. We checked the data afterwards and all measures were withing normal limits or less. I remember though, that it was restricted to collect mushrooms or wild berries in the forests anywhere in Ukraine. Any dusty environment was considered dangerous. All water wells were sealed with plastic etc etc
Mini series exceeded my expectations. Authors put quite an effort to correctly depict intricate details of this catastrophe. As other reviewers already mentioned, I had noticed so far ( 3 episodes) only minor discrepancies in the overall image of the life in the USSR. People, behavior, political relations etc. Example of such a minuscule inaccuracy - officials, let along common folks, didn't use ""comrade"" as frequently as it might seems from the episodes. It was very formal, official form of addressing. Usually, after first meeting, they addressed each other by the first AND middle name. In the military it was different - ""comrade"" + rank (as in modern Russia, BTW). I'm looking forward to see the rest.
I am thankful to the authors and actors for their job.
My deep bow to those who lost their lives and health, saving millions of lives.
EVERYONE should watch this show and see for himself the kind of horror that can be unleashed in the nuclear war."
"emholberg","May 26, 2019","10","It is hard to overestimate the importance of this show.","I work as an apprentice within the nuclear industry and I have to say without a doubt that this was the most horrifying thing I have watched in a long time. This isn't due to fact that the show is actually scary per say but it's is because the whole thing is true. This actually happened. Apart of my course so far has been learning about chernobyl so I know in detail the progression of these events and even still I was shocked the way that the show demonstrated how ignorant and naiive they where to what had actually happened.As far as the show goes the way it is desplayed on screen is mesmerising I can't even begin to imagine how it felt being there at the time wondering what was actually going on but I believe this show is as close a representation as we will get. The acting is excellent you almost forget you are watching a show as the reactions and emotions displayed feel incredibly genuine and beleiveable.The science included is spot. From my knowledge of how they understood nuclear physics and radiation almost 40 years ago this is very well done whoever was part of the research team was no doubt a veteran within the nuclear industry and it shows as I cannot fault any of the information that is passed across and it is done so in a fair amount of detail.Overall this is an excellent show so far and I can only imagine it will get better as it goes on and without a doubt will shine a light on the tragic events of what is easily the greatest human error of modern times. I highly recommend this to anyone who is unaware of the consequences of this event and hopefully this will showcase the safety precautions it had inflicted upon the modern nuclear industry as that is just as important as showing what went wrong."
"josephwhitton","May 15, 2019","7","Amazing","As a person who comes from a country that was ruled by the Communism, I have a good idea of how it was, because we still suffer the consequences of the most inhumane regime in the mankind history and the worst of them are not the economical ones, but the moral.The mentality of how the actions, the conversations, the people are is right how it happened. There are a lot of great details in every scene: objects, colors. The clock I saw in the very first seconds of Episode 1 is something so common - it was present at home as well. The way the most vile and uneducated scums got promoted to the highest position is what happens even today in the post-communist countries - exactly as in Episode 2 and the ex-shoe factory low life that is now Deputy Secretary and who ""prefers his own opinion over the one of a scientists"" - this is devastating for a nation and its talents.But what hurt most is the end: that it's all based on lies. Of hiding information. As it happened in Bulgaria: the Government not only hid the disaster from the people, but the politicians of the highest ranking hid their families and were feeding them with imported products, while the nation was even left to go on the regular parade for the 1st of May. And then the Government revealed it to the people like something minor. And you can imagine the consequences that are still ongoing.So for those of you who want to know a bit more how it was living in Communism, how and why the Chernobyl disaster happened, for those of you who want to see a masterpiece of cinema work - go for the mini-series."
