"Usernames","Dates","User_Rating","Review_Title","Text_Reviews"
"kunkell","Nov 1, 2019","6","Imagine an Ice Cream Shop","What can be said about Game of Thrones that hasn't already been said? It's universally thought of as one of the best series in the history of television. Look up any ""best shows ever"" list and I promise you'll find Game of Thrones near the top of every list you'll find. Obviously everyone knows the last episode was absolutely awful, even most of the actors have come out and said they didn't like it. Having said that, it doesn't take away from the show being amazing. One bad show doesn't take away from the other 72 episodes that were almost perfect! I've watched the entire series all the way through twice now and if anything I just appreciate this show even more."
"akhil-marsonya27","May 20, 2019","1","A Message to Dan and Dave","This is the first series i would recommend to anybody , it is an amazing piece of work , the most stunning TV series you will ever watch.
Why i gave it 9/10 because of the last season, it's still good but very disappointing compared to all the seasons. YOU will enjoy every episode"
"Rob1331","Nov 10, 2023","10","Amazing","Season 1-4 were practically perfect, there is not much to say. It had so many great moments, so many great episodes there. But then... well the writers kinda ran out of books to adapt. Season 5 and 6 were pretty boring most of the time. But they truly had their moments even having some of the best episodes of the show. Season 7 you could really see the dip in quality. Everything just felt so rushed most of it was really stupid. And then ofc. Season 8 the biggest disapointment I have ever seen. I have never seen anything more terrible. The ending was the stupidest thing i have ever seen. All of the characters were just so stupid. Everything felt even more rushed. And all the characters were basically ruined because of the writing. Overall i still give it a 9/10 just because of the first half of the show. And ofc it did still have its moments. I would still consider this show a masterpiece and I would 100% recomend. It is truly a must watch show."
"alshamari-marwa","May 18, 2020","9","Extraordinary untill season 8","A series like never seen before which rocked last season on a flop! congratulations anyway"
"tobiascramon","Nov 8, 2022","9","one the best shows ever made","I loved this series so much. Then came season 8 episode 3 and 4. Such a disgraceful ending.Seasons 1-4 10/10
Seasons 5-7 9/10
Season 8 (Ep 1-4) 3/10"
"adamheritage-15333","May 5, 2019","9","Can we please just restart season 8, perhaps 7 as well, but mainly 8","Started off as the greatest series of all time, but had the worst ending of all time."
"LASTRONOME","Jun 2, 2020","10","almost perfect","I was a big fan of Game of Thrones ever since it first aired on HBO. However, after waiting for two years, I (as probably also a lot of others) felt that the season didn't rise up the rest of the show. I believe the writers and producers didn't do the show justice and rushed the story. In these 6 episodes and pretty much destroyed most of the major character lines. It took 7 seasons for these complex story lines to evolve, just to be shattered in 2 episodes.
That being said, taking in consideration that season 8 is a part of GOT, I don't believe anymore that the show deserves the 9.5 stars."
"SpitOnAStranger","May 9, 2019","8","This was an 10/10 until S08E03","As an avid reader, I am often disappointed by what is represented by the silver screen. I initially get excited to see one of my favorite series on the big screen, and eventually walk away disgusted. For whatever reason, most shows and movies that are based on epic book series absolutely butcher the original content. So when I saw the preview for ""Game of Thrones"" on HBO, I was immediately skeptical. Oh, I was going to watch it, but I didn't have high expectations. I did hold a little hope because HBO is known for their high quality shows. I was absolutely shocked to watch the Pilot and realize that it followed the book almost to perfection. The language that is used by the actors is very similar to the way that it was written in the book, and events were not skipped. It stayed very true to the story without adding to it or removing from it. The acting is superb and I actually felt like I was looking into Winterfell for the first time. I feel like I've actually got faces to add to the characters that I've been reading about for a long time. If you have not read the books, you may feel as though the blatant sexuality is an addition from HBO to add some spice to the series. This is not the case at all. The books contained all of the sexuality that is shown in the Pilot. I am very proud of HBO for producing an amazingly accurate product. I will be watching every week for sure. If you enjoyed what you saw in the Pilot, know that there are many other plot twists and action filled evenings to come. ""Game of Thrones"" has a ton of potential to be one of the greatest series that has ever been produced. I would highly recommend it to fans of the series and newcomers alike.UPDATE:I have now watched 3 Episodes and I wanted to come back and report some more. Even after 3 Episodes, the series is staying true to the written story. Overall the acting is still very good. I hate to watch a show that makes it look like the actors are reading a script. I don't get this impression with this HBO adaptation. Each episode of this series leaves me itching for the next weekend. I really hate watching shows in real time because I enjoy absorbing several hours of a show at one time. But, a good show will keep you looking forward to it the whole week. A special note to viewers that have not read the books... Keep watching! This series has numerous twists and turns and full of epic battles and action. It may seem like it's taking a little while to develop, but the reward is well worth the wait. Even after 3 episodes, I would still highly recommend this to anyone."
"psypeterson","Apr 16, 2011","10","Excellent adaptation.","Do not believe any of those negative reviews. I honestly cannot understand why some reviewers have given this such a low rating. I think some people love the sound of their own voice and think their opinion is worth something and will be disagreeable simply for the sake of it.Having said that, this show is stunning. I have never read the books and now I want to. There is so much crap on TV that is renewed year after year (CSI, House etc.) which uses cheap gags, pointless and sometimes ridiculous plots, unbelievable and many times one dimensional characters and yet all the truly great shows get cancelled.There is enough brain-dead television. But once in a while a show comes along that transports you to another world and makes you believe in the magic of television again. Game of Thrones is one such show.It is complex, multi-layered, surreal, vibrant, imaginative and it draws your eye in to the surprising level of detail, from the sweeping vistas, to the narrow dungeons, from the beautiful castles and magnificent trees, to the contrasting landscapes. It is worth watching just for the scenery alone.Yes the acting seems a little cold and even wooden at times, but this is perfectly in keeping with the medieval look and feel of the show. Yes it is dark and gloomy, but again in keeping with the narrative.The scripting is intelligent and well delivered by competent acting, led by Sean Bean perfectly cast as Lord Edard. Although Sean Bean is better known for brooding bad guys, he strikes the perfect balance between father, husband and Lord and soldier. He is well supported by other well known actors and many new to the scene.After watching and sometimes enjoying Camelot, this show makes that one look more like ""Merlin"" by comparison. And where Camelot lacks in depth and scripting, Game of Thrones strikes the perfect balance between brooding medieval angst and wonderful fantasy story telling.Even if you have never watched a fantasy show before, you should not miss this."
"el-absy","May 19, 2019","7","Great Beginning, WORST Ending!","At first I did not want to watch the series.
But once I started watching it, I couldn't stop.
It became more and more exciting from season 1-8.Great actors.I was disappointed with the end of the 8 season!"
